"29/03 07:00",3.8 ,"29/03 15:00",12.8 ,"29/03",61.3,8.3 
"30/03 07:00",3.3 ,"30/03 15:00",13.5 ,"30/03",61.3,8.4 
"31/03 07:00",3.8 ,"31/03 15:00",14.1 ,"31/03",61.3,9
"01/04 07:00",3.5 ,"01/04 15:00",14.7 ,"01/04",50.5,9.1 
"02/04 07:00",4,"02/04 15:00",14.3 ,"02/04",50.5,9.2 
"03/04 07:00",4.5 ,"03/04 15:00",13.2 ,"03/04",50.5,8.9 
"04/04 07:00",3.8 ,"04/04 15:00",12.5 ,"04/04",50.5,8.2 
"05/04 07:00",3.5 ,"05/04 15:00",12.3 ,"05/04",50.5,7.9 
"06/04 07:00",3.4 ,"06/04 15:00",13.4 ,"06/04",50.5,8.4 
"07/04 07:00",4,"07/04 15:00",13.5 ,"07/04",50.5,8.7 
"08/04 07:00",4.4 ,"08/04 15:00",13.2 ,"08/04",50.5,8.8 
"09/04 07:00",3.8 ,"09/04 15:00",13.1 ,"09/04",50.5,8.5 
"10/04 07:00",4,"10/04 15:00",13.8 ,"10/04",50.5,8.9 
"11/04 07:00",4.2 ,"11/04 15:00",14.1 ,"11/04",50.5,9.2 
"12/04 07:00",3.8 ,"12/04 15:00",12.7 ,"12/04",50.5,8.3 
"13/04 07:00",4,"13/04 15:00",13.1 ,"13/04",50.5,8.5 
"14/04 07:00",3.6 ,"14/04 15:00",14.1 ,"14/04",50.5,8.9 
"15/04 07:00",4.1 ,"15/04 15:00",15.5 ,"15/04",50.5,9.8 
"16/04 07:00",4.5 ,"16/04 15:00",15,"16/04",50.5,9.8 
"17/04 07:00",5,"17/04 15:00",14.6 ,"17/04",50.5,9.8 
"18/04 07:00",4.7 ,"18/04 15:00",14.5 ,"18/04",50.5,9.6 
"19/04 07:00",4,"19/04 15:00",14.4 ,"19/04",50.5,9.2 
"20/04 07:00",3.5 ,"20/04 15:00",15.5 ,"20/04",50.5,9.5 
"21/04 07:00",4.1 ,"21/04 15:00",17.3 ,"21/04",50.5,10.7 
"22/04 07:00",5.1 ,"22/04 15:00",17.4 ,"22/04",50.5,11.3 
"23/04 07:00",5.1 ,"23/04 15:00",17,"23/04",50.5,11.1 
"24/04 07:00",5.2 ,"24/04 15:00",17.8 ,"24/04",50.5,11.6 
"25/04 07:00",5.8 ,"25/04 15:00",18.1 ,"25/04",50.5,12
"26/04 07:00",7.1 ,"26/04 15:00",17.2 ,"26/04",50.5,12.2 
"27/04 07:00",7.2 ,"27/04 15:00",16.8 ,"27/04",50.5,12
"28/04 07:00",6.8 ,"28/04 15:00",17.1 ,"28/04",50.5,12
"29/04 07:00",6.6 ,"29/04 15:00",17.4 ,"29/04",50.5,12
"30/04 07:00",7.1 ,"30/04 15:00",18,"30/04",50.5,12.6 
"01/05 07:00",7.4 ,"01/05 15:00",18.2 ,"01/05",58.9,12.8 
"02/05 07:00",7.1 ,"02/05 15:00",18.2 ,"02/05",58.9,12.7 
"03/05 07:00",7.3 ,"03/05 15:00",18.2 ,"03/05",58.9,12.8 
"04/05 07:00",7.5 ,"04/05 15:00",17.2 ,"04/05",58.9,12.4 
"05/05 07:00",7.7 ,"05/05 15:00",17.8 ,"05/05",58.9,12.8 
"06/05 07:00",7.9 ,"06/05 15:00",18.4 ,"06/05",58.9,13.2 
"07/05 07:00",7.9 ,"07/05 15:00",18.1 ,"07/05",58.9,13
"08/05 07:00",8.1 ,"08/05 15:00",18.8 ,"08/05",58.9,13.5 
"09/05 07:00",8.2 ,"09/05 15:00",18.6 ,"09/05",58.9,13.4 
"10/05 07:00",8.4 ,"10/05 15:00",19.2 ,"10/05",58.9,13.8 
"11/05 07:00",9.1 ,"11/05 15:00",18.8 ,"11/05",58.9,13.9 
"12/05 07:00",8.9 ,"12/05 15:00",18.6 ,"12/05",58.9,13.8 
"13/05 07:00",8.8 ,"13/05 15:00",19.2 ,"13/05",58.9,14
"14/05 07:00",9.3 ,"14/05 15:00",18.8 ,"14/05",58.9,14.1 
"15/05 07:00",7.9 ,"15/05 15:00",19.7 ,"15/05",58.9,13.8 
"16/05 07:00",8.3 ,"16/05 15:00",20.4 ,"16/05",58.9,14.3 
"17/05 07:00",9.2 ,"17/05 15:00",20.4 ,"17/05",58.9,14.8 
"18/05 07:00",9.3 ,"18/05 15:00",19.1 ,"18/05",58.9,14.3 
"19/05 07:00",8.9 ,"19/05 15:00",19.5 ,"19/05",58.9,14.3 
"20/05 07:00",9,"20/05 15:00",20.8 ,"20/05",58.9,14.9 
"21/05 07:00",9.7 ,"21/05 15:00",19.7 ,"21/05",58.9,14.7 
"22/05 07:00",9.8 ,"22/05 15:00",19.2 ,"22/05",58.9,14.6 
"23/05 07:00",9.2 ,"23/05 15:00",20.7 ,"23/05",58.9,15
"24/05 07:00",9.3 ,"24/05 15:00",21,"24/05",58.9,15.2 
"25/05 07:00",10.4 ,"25/05 15:00",21.6 ,"25/05",58.9,16
"26/05 07:00",10.1 ,"26/05 15:00",22.3 ,"26/05",58.9,16.2 
"27/05 07:00",11.2 ,"27/05 15:00",20.7 ,"27/05",58.9,16
"28/05 07:00",10.5 ,"28/05 15:00",20,"28/05",58.9,15.3 
"29/05 07:00",10.2 ,"29/05 15:00",20.3 ,"29/05",58.9,15.3 
"30/05 07:00",9.2 ,"30/05 15:00",20.9 ,"30/05",58.9,15.1 
"31/05 07:00",9.9 ,"31/05 15:00",21,"31/05",58.9,15.5 
"01/06 07:00",10.1 ,"01/06 15:00",21.9 ,"01/06",61.7,16.1 
"02/06 07:00",11.9 ,"02/06 15:00",22.3 ,"02/06",61.7,17.2 
"03/06 07:00",11.3 ,"03/06 15:00",21.9 ,"03/06",61.7,16.7 
"04/06 07:00",11,"04/06 15:00",20.6 ,"04/06",61.7,15.8 
"05/06 07:00",10.8 ,"05/06 15:00",21.4 ,"05/06",61.7,16.2 
"06/06 07:00",11.7 ,"06/06 15:00",20.9 ,"06/06",61.7,16.3 
"07/06 07:00",11.7 ,"07/06 15:00",21.1 ,"07/06",61.7,16.5 
"08/06 07:00",11.2 ,"08/06 15:00",21.9 ,"08/06",61.7,16.6 
"09/06 07:00",11.2 ,"09/06 15:00",22.3 ,"09/06",61.7,16.8 
"10/06 07:00",11.3 ,"10/06 15:00",23.2 ,"10/06",61.7,17.2 
"11/06 07:00",12.1 ,"11/06 15:00",21.6 ,"11/06",61.7,16.9 
"12/06 07:00",11.1 ,"12/06 15:00",21.7 ,"12/06",61.7,16.4 
"13/06 07:00",11.1 ,"13/06 15:00",22,"13/06",61.7,16.5 
"14/06 07:00",11.6 ,"14/06 15:00",22.6 ,"14/06",61.7,17.1 
"15/06 07:00",12.6 ,"15/06 15:00",22.5 ,"15/06",61.7,17.6 
"16/06 07:00",12.1 ,"16/06 15:00",22.6 ,"16/06",61.7,17.4 
"17/06 07:00",11.2 ,"17/06 15:00",23.1 ,"17/06",61.7,17.2 
"18/06 07:00",12,"18/06 15:00",23.5 ,"18/06",61.7,17.7 
"19/06 07:00",11.8 ,"19/06 15:00",23.2 ,"19/06",61.7,17.5 
"20/06 07:00",12.2 ,"20/06 15:00",23,"20/06",61.7,17.6 
"21/06 07:00",12.5 ,"21/06 15:00",23.3 ,"21/06",61.7,17.9 
"22/06 07:00",12.8 ,"22/06 15:00",22.7 ,"22/06",61.7,17.7 
"23/06 07:00",12.4 ,"23/06 15:00",23.2 ,"23/06",61.7,17.8 
"24/06 07:00",12.5 ,"24/06 15:00",23.4 ,"24/06",61.7,18
"25/06 07:00",12.6 ,"25/06 15:00",24,"25/06",61.7,18.4 
"26/06 07:00",13.7 ,"26/06 15:00",24.8 ,"26/06",61.7,19.3 
"27/06 07:00",13.5 ,"27/06 15:00",24.2 ,"27/06",61.7,18.9 
"28/06 07:00",13.7 ,"28/06 15:00",23.8 ,"28/06",61.7,18.7 
"29/06 07:00",12.6 ,"29/06 15:00",24.4 ,"29/06",61.7,18.5 
"30/06 07:00",13,"30/06 15:00",24.9 ,"30/06",61.7,19
"01/07 07:00",13.7 ,"01/07 15:00",24.9 ,"01/07",63.7,19.3 
"02/07 07:00",13.6 ,"02/07 15:00",25,"02/07",63.7,19.3 
"03/07 07:00",14.2 ,"03/07 15:00",24.4 ,"03/07",63.7,19.3 
"04/07 07:00",14,"04/07 15:00",24.2 ,"04/07",63.7,19.2 
"05/07 07:00",13.9 ,"05/07 15:00",24.3 ,"05/07",63.7,19.1 
"06/07 07:00",13.6 ,"06/07 15:00",23.5 ,"06/07",63.7,18.6 
"07/07 07:00",13.6 ,"07/07 15:00",23.3 ,"07/07",63.7,18.5 
"08/07 07:00",13,"08/07 15:00",24.3 ,"08/07",63.7,18.7 
"09/07 07:00",13.6 ,"09/07 15:00",24.8 ,"09/07",63.7,19.2 
"10/07 07:00",13.7 ,"10/07 15:00",25.4 ,"10/07",63.7,19.6 
"11/07 07:00",14,"11/07 15:00",25.6 ,"11/07",63.7,19.8 
"12/07 07:00",14.2 ,"12/07 15:00",25.1 ,"12/07",63.7,19.7 
"13/07 07:00",14.4 ,"13/07 15:00",25.3 ,"13/07",63.7,19.9 
"14/07 07:00",14.2 ,"14/07 15:00",25.1 ,"14/07",63.7,19.6 
"15/07 07:00",14.2 ,"15/07 15:00",25.2 ,"15/07",63.7,19.7 
"16/07 07:00",14.1 ,"16/07 15:00",26,"16/07",63.7,20.1 
"17/07 07:00",14.6 ,"17/07 15:00",24.7 ,"17/07",63.7,19.7 
"18/07 07:00",13.4 ,"18/07 15:00",24.4 ,"18/07",63.7,18.9 
"19/07 07:00",13.6 ,"19/07 15:00",25.1 ,"19/07",63.7,19.4 
